date,ticker,sentiment_score,movement,volume,open_price,close_price,high_price,low_price
2022-01-01,AAPL,-0.250919762305275,high,7610734,365.2168018001969,343.85240466276076,428.170728103608,145.96253734476412
2022-01-02,GOOGL,0.9014286128198323,medium,4297291,100.75195340996426,458.41631986288763,276.22941120492294,101.53485820312036
2022-01-03,TSLA,0.4639878836228102,low,5894287,171.34903372293195,427.2106996554772,152.96184539858183,300.80327909567285
2022-01-04,AAPL,0.1973169683940732,medium,8954647,111.6285521375815,201.1254424356802,252.90090079098334,333.25112938114773
2022-01-05,AAPL,-0.687962719115127,medium,3490706,166.75404714194838,208.57543105368006,347.7373816547646,331.58612811832177
2022-01-06,MSFT,-0.6880109593275947,low,8542535,172.5277119702021,150.14259031695426,281.76126179198116,121.80477097513051
2022-01-07,GOOGL,-0.8838327756636011,medium,9047252,255.06943790015768,234.7858902869826,412.075707393198,225.61752276737298
2022-01-08,GOOGL,0.7323522915498704,medium,6254224,260.93084987462237,499.81756748763775,499.0491289005542,299.67957873653273
2022-01-09,TSLA,0.2022300234864176,low,7215140,449.7049882440951,262.3004674460244,176.45283537955873,186.63167425089637
2022-01-10,GOOGL,0.416145155592091,low,4737973,304.04388499953006,188.19537387564256,283.86032786382896,449.05035419435853
2022-01-11,AAPL,-0.9588310114083951,same,3202575,389.3619062449145,404.9931537902212,272.3935607683288,134.84371578457362
2022-01-12,TSLA,0.9398197043239886,high,7611653,141.65494316811498,316.98840138506245,221.79701309958034,294.9537766688171
2022-01-13,GOOGL,0.6648852816008435,same,1464071,190.17550218547754,159.840579810781,179.23820668811584,376.56642300526084
2022-01-14,TSLA,-0.5753217786434477,low,5381137,381.1773763914707,252.27587246434632,126.27684659586369,204.700440053793
2022-01-15,GOOGL,-0.6363500655857988,medium,5912216,121.12158418741123,265.78788621573733,454.84772688947936,349.69629479900726
2022-01-16,GOOGL,-0.6331909802931324,low,8597626,294.63906489750127,401.53188022768745,267.93947907452707,431.7540600569498
2022-01-17,MSFT,-0.39151551408092455,medium,4498472,339.74758626517354,108.26854755676179,298.75820740001956,176.13479003801902
